category,run,method,model,split,acc,f1,precision,recall,examples,seconds,examples_per_second,seed,emb_dim,hidden_dim,attn_dim,dropout,max_len,vocab_size,best_epoch,train_seconds,threshold,best_threshold,provider,parse_failures,prompt_sha,temperature,top_p,num_predict,timeout_s,base_url
esd_zh,esd_zh/metrics.json,esd_zh_bigru_attn,,test,0.6728071274298056,0.5793894428152492,0.4842105263157895,0.720031523178808,463,0.03459310531616211,13384.169931217004,42,300,64,64,0.5,160,2575,11,31.039223194122314,,,,,,,,,,
esd_zh,esd_zh/metrics.json,esd_zh_bigru_attn,,val,0.7084233261339092,0.6197183098591549,0.5392156862745098,0.7284768211920529,463,0.037302255630493164,12412.11803882217,42,300,64,64,0.5,160,2575,11,31.039223194122314,,,,,,,,,,
llm_deepseek,baselines/llm_deepseek/metrics.json,deepseek_chat,deepseek-chat,test,0.5497,0.5311,0.4193,0.7424,463,389.47015404701233,1.188794558938429,,,,,,,,,,,,deepseek,0,c2c38587f5c6,0.0,1.0,16,120,https://api.deepseek.com
llm_deepseek,baselines/llm_deepseek/metrics.json,deepseek_chat,deepseek-chat,val,0.5562,0.5473,0.4251,0.7682,463,376.85261964797974,1.2285970054619524,,,,,,,,,,,,deepseek,0,c2c38587f5c6,0.0,1.0,16,120,https://api.deepseek.com
llm_huggingface,baselines/roberta/metrics.json,roberta_finetune,hfl/chinese-roberta-wwm-ext,test,0.6544,0.4937,0.4727,0.5166,463,0.6436429023742676,719.3429746402661,,,,,,,,,,,,huggingface,,,,,,,
llm_huggingface,baselines/roberta/metrics.json,roberta_finetune,hfl/chinese-roberta-wwm-ext,val,0.6955,0.5495,0.5309,0.5695,463,0.6385204792022705,725.1137826909555,,,,,,,,,,,,huggingface,,,,,,,
llm_ollama,baselines/llm_ollama/glm4_9b/metrics.json,ollama_chat,glm4:9b,test,0.5346,0.4998,0.4013,0.6623,463,343.85883140563965,1.3464827938469122,,,,,,,,,,,,ollama,0,d1b0952cf1bc,0.0,1.0,32,120,http://127.0.0.1:11434
llm_ollama,baselines/llm_ollama/glm4_9b/metrics.json,ollama_chat,glm4:9b,val,0.541,0.511,0.4076,0.6848,463,354.83858942985535,1.3048186239944628,,,,,,,,,,,,ollama,0,d1b0952cf1bc,0.0,1.0,32,120,http://127.0.0.1:11434
llm_ollama,baselines/llm_ollama/llama3.1_8b/metrics.json,ollama_chat,llama3.1:8b,test,0.5174,0.4623,0.3527,0.6556,463,343.2623825073242,1.3488224273748404,,,,,,,,,,,,ollama,0,d1b0952cf1bc,0.0,1.0,32,120,http://127.0.0.1:11434
llm_ollama,baselines/llm_ollama/llama3.1_8b/metrics.json,ollama_chat,llama3.1:8b,val,0.5281,0.4727,0.3618,0.6815,463,353.7310059070587,1.3089042019733244,,,,,,,,,,,,ollama,0,d1b0952cf1bc,0.0,1.0,32,120,http://127.0.0.1:11434
llm_ollama,baselines/llm_ollama/qwen2.5_7b/metrics.json,ollama_chat,qwen2.5:7b,test,0.5291,0.509,0.3857,0.7483,463,325.35647082328796,1.4230545310146017,,,,,,,,,,,,ollama,0,d1b0952cf1bc,0.0,1.0,32,120,http://127.0.0.1:11434
llm_ollama,baselines/llm_ollama/qwen2.5_7b/metrics.json,ollama_chat,qwen2.5:7b,val,0.5399,0.5256,0.3959731543624161,0.7814569536423841,463,340.4911470413208,1.3598004060405482,,,,,,,,,,,,ollama,0,d1b0952cf1bc,0.0,1.0,32,120,http://127.0.0.1:11434
lower,baselines/random/metrics.json,majority,,test,0.6739,0.0,0.0,0.0,,,,42,,,,,,,,,,,,,,,,,,
lower,baselines/random/metrics.json,majority,,val,0.6739,0.0,0.0,0.0,,,,42,,,,,,,,,,,,,,,,,,
lower,baselines/random/metrics.json,stratified_random,,test,0.5551,0.3133,0.3154,0.3113,,,,42,,,,,,,,,,,,,,,,,,
lower,baselines/random/metrics.json,stratified_random,,val,0.5659,0.341,0.3377,0.3444,,,,42,,,,,,,,,,,,,,,,,,
